ID,Assunto,IP Origem,Notificado em,Status,Tipo
5962027,Host com o serviço SMB vulnerável,143.54.202.107,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962028,Host com o serviço SMB vulnerável,143.54.241.73,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962029,Host com o serviço SMB vulnerável,143.54.115.64,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962030,Host com o serviço SMB vulnerável,143.54.2.193,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962031,Host com o serviço SMB vulnerável,143.54.240.216,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962032,Host com o serviço SMB vulnerável,143.54.115.109,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962033,Host com o serviço SMB vulnerável,143.54.80.8,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962034,Host com o serviço SMB vulnerável,143.54.148.206,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962035,Host com o serviço SMB vulnerável,143.54.101.21,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962036,Host com o serviço SMB vulnerável,143.54.122.44,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962037,Host com o serviço SMB vulnerável,143.54.199.52,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962038,Host com o serviço SMB vulnerável,143.54.121.249,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962039,Host com o serviço SMB vulnerável,143.54.109.38,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962040,Host com o serviço SMB vulnerável,143.54.148.74,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962041,Host com o serviço SMB vulnerável,143.54.210.92,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962042,Host com o serviço SMB vulnerável,143.54.252.164,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962043,Host com o serviço SMB vulnerável,143.54.199.55,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962045,Host com o serviço SMB vulnerável,143.54.237.58,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962048,Host com o serviço SMB vulnerável,143.54.254.84,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962049,Host com o serviço SMB vulnerável,143.54.188.80,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962062,Host com o serviço SMB vulnerável,143.54.246.85,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962063,Host com o serviço SMB vulnerável,143.54.150.164,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962064,Host com o serviço SMB vulnerável,143.54.2.165,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962065,Host com o serviço SMB vulnerável,143.54.112.100,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962069,Host com o serviço SMB vulnerável,143.54.246.213,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962071,Host com o serviço SMB vulnerável,143.54.185.79,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962072,Host com o serviço SMB vulnerável,143.54.252.159,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962073,Host com o serviço SMB vulnerável,143.54.254.57,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962075,Host com o serviço SMB vulnerável,143.54.197.172,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962076,Host com o serviço SMB vulnerável,143.54.80.201,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962077,Host com o serviço SMB vulnerável,143.54.210.237,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962078,Host com o serviço SMB vulnerável,143.54.149.174,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962079,Host com o serviço SMB vulnerável,143.54.232.193,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962080,Host com o serviço SMB vulnerável,143.54.211.67,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962081,Host com o serviço SMB vulnerável,143.54.149.118,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962082,Host com o serviço SMB vulnerável,143.54.110.30,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962083,Host com o serviço SMB vulnerável,143.54.115.72,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962084,Host com o serviço SMB vulnerável,143.54.149.165,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962085,Host com o serviço SMB vulnerável,143.54.246.151,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962086,Host com o serviço SMB vulnerável,143.54.188.147,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962087,Host com o serviço SMB vulnerável,143.54.134.6,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962088,Host com o serviço SMB vulnerável,143.54.233.136,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962089,Host com o serviço SMB vulnerável,143.54.196.64,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962090,Host com o serviço SMB vulnerável,143.54.106.101,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962091,Host com o serviço SMB vulnerável,143.54.110.24,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962092,Host com o serviço SMB vulnerável,143.54.80.86,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962093,Host com o serviço SMB vulnerável,143.54.110.117,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962094,Host com o serviço SMB vulnerável,143.54.40.104,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962095,Host com o serviço SMB vulnerável,143.54.155.163,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962096,Host com o serviço SMB vulnerável,143.54.148.216,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962097,Host com o serviço SMB vulnerável,143.54.220.137,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962098,Host com o serviço SMB vulnerável,143.54.211.207,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962099,Host com o serviço SMB vulnerável,143.54.110.101,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962100,Host com o serviço SMB vulnerável,143.54.201.247,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962101,Host com o serviço SMB vulnerável,143.54.110.143,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962113,Host com o serviço SMB vulnerável,143.54.248.139,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962114,Host com o serviço SMB vulnerável,143.54.201.164,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962115,Host com o serviço SMB vulnerável,143.54.149.143,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962116,Host com o serviço SMB vulnerável,143.54.187.180,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962117,Host com o serviço SMB vulnerável,143.54.241.49,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962118,Host com o serviço SMB vulnerável,143.54.211.20,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962119,Host com o serviço SMB vulnerável,143.54.252.42,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962120,Host com o serviço SMB vulnerável,143.54.138.31,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962121,Host com o serviço SMB vulnerável,143.54.112.58,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962122,Host com o serviço SMB vulnerável,143.54.31.250,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962123,Host com o serviço SMB vulnerável,143.54.20.254,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962124,Host com o serviço SMB vulnerável,143.54.179.84,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962125,Host com o serviço SMB vulnerável,143.54.121.220,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962126,Host com o serviço SMB vulnerável,143.54.246.61,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962127,Host com o serviço SMB vulnerável,143.54.232.136,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962128,Host com o serviço SMB vulnerável,143.54.210.95,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962129,Host com o serviço SMB vulnerável,143.54.252.133,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962130,Host com o serviço SMB vulnerável,143.54.150.66,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962131,Host com o serviço SMB vulnerável,143.54.249.161,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962132,Host com o serviço SMB vulnerável,143.54.210.85,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962133,Host com o serviço SMB vulnerável,143.54.252.251,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962134,Host com o serviço SMB vulnerável,143.54.242.8,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962135,Host com o serviço SMB vulnerável,143.54.184.111,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962136,Host com o serviço SMB vulnerável,143.54.246.25,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962137,Host com o serviço SMB vulnerável,143.54.197.171,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962138,Host com o serviço SMB vulnerável,143.54.240.130,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962139,Host com o serviço SMB vulnerável,143.54.196.116,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962140,Host com o serviço SMB vulnerável,143.54.246.75,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962141,Host com o serviço SMB vulnerável,143.54.121.90,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962142,Host com o serviço SMB vulnerável,143.54.43.230,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962143,Host com o serviço SMB vulnerável,143.54.205.235,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962144,Host com o serviço SMB vulnerável,143.54.136.159,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962145,Host com o serviço SMB vulnerável,143.54.241.107,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962146,Host com o serviço SMB vulnerável,143.54.149.154,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962147,Host com o serviço SMB vulnerável,143.54.252.68,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962148,Host com o serviço SMB vulnerável,143.54.241.228,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962149,Host com o serviço SMB vulnerável,143.54.148.36,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962150,Host com o serviço SMB vulnerável,143.54.109.171,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962151,Host com o serviço SMB vulnerável,143.54.40.97,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962152,Host com o serviço SMB vulnerável,143.54.252.119,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962153,Host com o serviço SMB vulnerável,143.54.220.104,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962154,Host com o serviço SMB vulnerável,143.54.108.176,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962155,Host com o serviço SMB vulnerável,143.54.221.230,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962156,Host com o serviço SMB vulnerável,143.54.134.13,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962171,Host com o serviço SMB vulnerável,143.54.110.107,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
