ID,Assunto,IP Origem,Notificado em,Status,Tipo
5962291,Hosts com o serviço SNMP vulneráveis que podem ser utilizados em ataques DDoS,143.54.197.171,2024-05-16 03:28:00+00:00,Resolvido,Amplificação/SNMP
5962300,Hosts com o serviço SSDP vulneráveis que podem ser utilizados em ataques DDoS,143.54.40.123,2024-05-16 03:29:59+00:00,Resolvido,Amplificação/SSDP
5962301,Hosts com o serviço SSDP vulneráveis que podem ser utilizados em ataques DDoS,143.54.188.202,2024-05-16 03:31:27+00:00,Resolvido,Amplificação/SSDP
5962303,Hosts com o serviço SSDP vulneráveis que podem ser utilizados em ataques DDoS,143.54.240.117,2024-05-16 03:31:27+00:00,Resolvido,Amplificação/SSDP
5962305,Hosts com o serviço SSDP vulneráveis que podem ser utilizados em ataques DDoS,143.54.106.200,2024-05-16 03:31:27+00:00,Resolvido,Amplificação/SSDP
5962306,Hosts com o serviço SSDP vulneráveis que podem ser utilizados em ataques DDoS,143.54.211.70,2024-05-16 03:31:27+00:00,Resolvido,Amplificação/SSDP
5962307,Hosts com o serviço SSDP vulneráveis que podem ser utilizados em ataques DDoS,143.54.204.220,2024-05-16 03:31:27+00:00,Resolvido,Amplificação/SSDP
5962308,Hosts com o serviço SSDP vulneráveis que podem ser utilizados em ataques DDoS,143.54.249.38,2024-05-16 03:31:27+00:00,Resolvido,Amplificação/SSDP
5962309,Hosts com o serviço SSDP vulneráveis que podem ser utilizados em ataques DDoS,143.54.81.254,2024-05-16 03:31:27+00:00,Resolvido,Amplificação/SSDP
5962311,Servidores Web vulneráveis ao ataque Freak,143.54.184.25,2024-05-16 03:31:22+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962312,Servidores Web vulneráveis ao ataque Freak,143.54.136.16,2024-05-16 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962313,Servidores Web vulneráveis ao ataque Freak,143.54.220.13,2024-05-16 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962314,Servidores Web vulneráveis ao ataque Freak,143.54.136.13,2024-05-16 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962315,Servidores Web vulneráveis ao ataque Freak,143.54.184.26,2024-05-16 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962316,Servidores Web vulneráveis ao ataque Freak,143.54.136.17,2024-05-16 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962317,Servidores Web vulneráveis ao ataque Freak,143.54.136.10,2024-05-16 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962318,Servidores Web vulneráveis ao ataque Freak,143.54.184.16,2024-05-16 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962319,Servidores Web vulneráveis ao ataque Freak,143.54.148.9,2024-05-16 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962320,Servidores Web vulneráveis ao ataque Freak,143.54.148.10,2024-05-16 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962321,Servidores Web vulneráveis ao ataque Freak,143.54.136.7,2024-05-16 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962322,Servidores Web vulneráveis ao ataque Freak,143.54.136.21,2024-05-16 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962323,Servidores Web vulneráveis ao ataque Freak,143.54.136.11,2024-05-16 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962324,Servidores Web vulneráveis ao ataque Freak,143.54.220.11,2024-05-16 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962325,Servidores Web vulneráveis ao ataque Freak,143.54.220.8,2024-05-16 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962326,Servidores Web vulneráveis ao ataque Freak,143.54.240.16,2024-05-16 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
