ID,Assunto,IP Origem,Notificado em,Status,Tipo
5962027,Host com o serviço SMB vulnerável,[IP_ADDRESS_da7304f5ae],[DATE_TIME_4ca32ffef1] 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962028,Host com o serviço SMB vulnerável,[IP_ADDRESS_5ebda63239],[DATE_TIME_4ca32ffef1] 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962029,Host com o serviço SMB vulnerável,[IP_ADDRESS_831fa1ef54],[DATE_TIME_4ca32ffef1] 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962030,Host com o serviço SMB vulnerável,[IP_ADDRESS_c79c0aa8a3],[DATE_TIME_4ca32ffef1] 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962031,Host com o serviço SMB vulnerável,[IP_ADDRESS_5f88183615],[DATE_TIME_4ca32ffef1] 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962032,Host com o serviço SMB vulnerável,[IP_ADDRESS_bc6756148d],[DATE_TIME_4ca32ffef1] 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962033,Host com o serviço SMB vulnerável,[IP_ADDRESS_19cb04599b],[DATE_TIME_4ca32ffef1] 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962034,Host com o serviço SMB vulnerável,[IP_ADDRESS_15a912c242],[DATE_TIME_4ca32ffef1] 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962035,Host com o serviço SMB vulnerável,[IP_ADDRESS_e1ff1d7163],[DATE_TIME_4ca32ffef1] 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962036,Host com o serviço SMB vulnerável,[IP_ADDRESS_299ab12b91],[DATE_TIME_4ca32ffef1] 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962037,Host com o serviço SMB vulnerável,[IP_ADDRESS_aa4c67498d],[DATE_TIME_4ca32ffef1] 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962038,Host com o serviço SMB vulnerável,[IP_ADDRESS_45c6540168],[DATE_TIME_4ca32ffef1] 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962039,Host com o serviço SMB vulnerável,[IP_ADDRESS_af3288e32a],[DATE_TIME_4ca32ffef1] 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962040,Host com o serviço SMB vulnerável,[IP_ADDRESS_0958f6109c],[DATE_TIME_4ca32ffef1] 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962041,Host com o serviço SMB vulnerável,[IP_ADDRESS_7fdbeb6a64],[DATE_TIME_4ca32ffef1] 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962042,Host com o serviço SMB vulnerável,[IP_ADDRESS_914ee549c9],[DATE_TIME_4ca32ffef1] 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962043,Host com o serviço SMB vulnerável,[IP_ADDRESS_7a7c918b7f],[DATE_TIME_4ca32ffef1] 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962045,Host com o serviço SMB vulnerável,[IP_ADDRESS_c0adba8af8],[DATE_TIME_4ca32ffef1] 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962048,Host com o serviço SMB vulnerável,[IP_ADDRESS_818ac5320d],[DATE_TIME_4ca32ffef1] 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962049,Host com o serviço SMB vulnerável,[IP_ADDRESS_28c6f9a6de],[DATE_TIME_4ca32ffef1] 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962062,Host com o serviço SMB vulnerável,[IP_ADDRESS_527b22d945],[DATE_TIME_4ca32ffef1] 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962063,Host com o serviço SMB vulnerável,[IP_ADDRESS_1a838afa3d],[DATE_TIME_4ca32ffef1] 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962064,Host com o serviço SMB vulnerável,[IP_ADDRESS_bfbec83006],[DATE_TIME_4ca32ffef1] 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962065,Host com o serviço SMB vulnerável,[IP_ADDRESS_4229966bab],[DATE_TIME_4ca32ffef1] 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962069,Host com o serviço SMB vulnerável,[IP_ADDRESS_6a82114426],[DATE_TIME_4ca32ffef1] 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962071,Host com o serviço SMB vulnerável,[IP_ADDRESS_60ecd1aeda],[DATE_TIME_4ca32ffef1] 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962072,Host com o serviço SMB vulnerável,[IP_ADDRESS_57a4a41e9d],[DATE_TIME_4ca32ffef1] 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962073,Host com o serviço SMB vulnerável,[IP_ADDRESS_8c6d4b830d],[DATE_TIME_4ca32ffef1] 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962075,Host com o serviço SMB vulnerável,[IP_ADDRESS_e2e9a71981],[DATE_TIME_4ca32ffef1] 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962076,Host com o serviço SMB vulnerável,[IP_ADDRESS_8a7ca90167],[DATE_TIME_4ca32ffef1] 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962077,Host com o serviço SMB vulnerável,[IP_ADDRESS_295b739486],[DATE_TIME_4ca32ffef1] 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962078,Host com o serviço SMB vulnerável,[IP_ADDRESS_b58d14784c],[DATE_TIME_4ca32ffef1] 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962079,Host com o serviço SMB vulnerável,[IP_ADDRESS_143c5ac148],[DATE_TIME_4ca32ffef1] 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962080,Host com o serviço SMB vulnerável,[IP_ADDRESS_016c24eef9],[DATE_TIME_4ca32ffef1] 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962081,Host com o serviço SMB vulnerável,[IP_ADDRESS_ee2c21b032],[DATE_TIME_4ca32ffef1] 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962082,Host com o serviço SMB vulnerável,[IP_ADDRESS_792995cb58],[DATE_TIME_4ca32ffef1] 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
