ID,Assunto,IP Origem,Notificado em,Status,Tipo
5962291,Hosts com o serviço SNMP vulneráveis que podem ser utilizados em ataques DDoS,[IP_ADDRESS_45ee2c752b],[DATE_TIME_4ca32ffef1] 03:28:00+00:00,Resolvido,Amplificação/SNMP
5962300,Hosts com o serviço SSDP vulneráveis que podem ser utilizados em ataques DDoS,[IP_ADDRESS_a07d012e83],[DATE_TIME_4ca32ffef1] 03:29:59+00:00,Resolvido,Amplificação/SSDP
5962301,Hosts com o serviço SSDP vulneráveis que podem ser utilizados em ataques DDoS,[IP_ADDRESS_64374aba6d],[DATE_TIME_4ca32ffef1] 03:31:27+00:00,Resolvido,Amplificação/SSDP
5962303,Hosts com o serviço SSDP vulneráveis que podem ser utilizados em ataques DDoS,[IP_ADDRESS_8fddc686c0],[DATE_TIME_4ca32ffef1] 03:31:27+00:00,Resolvido,Amplificação/SSDP
5962305,Hosts com o serviço SSDP vulneráveis que podem ser utilizados em ataques DDoS,[IP_ADDRESS_8e275fea3f],[DATE_TIME_4ca32ffef1] 03:31:27+00:00,Resolvido,Amplificação/SSDP
5962306,Hosts com o serviço SSDP vulneráveis que podem ser utilizados em ataques DDoS,[IP_ADDRESS_6f655db765],[DATE_TIME_4ca32ffef1] 03:31:27+00:00,Resolvido,Amplificação/SSDP
5962307,Hosts com o serviço SSDP vulneráveis que podem ser utilizados em ataques DDoS,[IP_ADDRESS_6c1e1f3af7],[DATE_TIME_4ca32ffef1] 03:31:27+00:00,Resolvido,Amplificação/SSDP
5962308,Hosts com o serviço SSDP vulneráveis que podem ser utilizados em ataques DDoS,[IP_ADDRESS_3a6e3fdd8b],[DATE_TIME_4ca32ffef1] 03:31:27+00:00,Resolvido,Amplificação/SSDP
5962309,Hosts com o serviço SSDP vulneráveis que podem ser utilizados em ataques DDoS,[IP_ADDRESS_f549316851],[DATE_TIME_4ca32ffef1] 03:31:27+00:00,Resolvido,Amplificação/SSDP
5962311,Servidores Web vulneráveis ao ataque Freak,[IP_ADDRESS_5a18b8fc99],[DATE_TIME_4ca32ffef1] 03:31:22+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962312,Servidores Web vulneráveis ao ataque Freak,[IP_ADDRESS_fda2b247e3],[DATE_TIME_4ca32ffef1] 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962313,Servidores Web vulneráveis ao ataque Freak,[IP_ADDRESS_e79a6dcf47],[DATE_TIME_4ca32ffef1] 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962314,Servidores Web vulneráveis ao ataque Freak,[IP_ADDRESS_93aa90d70c],[DATE_TIME_4ca32ffef1] 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962315,Servidores Web vulneráveis ao ataque Freak,[IP_ADDRESS_744621cdd6],[DATE_TIME_4ca32ffef1] 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962316,Servidores Web vulneráveis ao ataque Freak,[IP_ADDRESS_79154e3408],[DATE_TIME_4ca32ffef1] 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962317,Servidores Web vulneráveis ao ataque Freak,[IP_ADDRESS_17cff28fb9],[DATE_TIME_4ca32ffef1] 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962318,Servidores Web vulneráveis ao ataque Freak,[IP_ADDRESS_dae3a3d627],[DATE_TIME_4ca32ffef1] 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962319,Servidores Web vulneráveis ao ataque Freak,[IP_ADDRESS_30d3befdc4],[DATE_TIME_4ca32ffef1] 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962320,Servidores Web vulneráveis ao ataque Freak,[IP_ADDRESS_3d189cf6f8],[DATE_TIME_4ca32ffef1] 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962321,Servidores Web vulneráveis ao ataque Freak,[IP_ADDRESS_d0969913c4],[DATE_TIME_4ca32ffef1] 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962322,Servidores Web vulneráveis ao ataque Freak,[IP_ADDRESS_097b774392],[DATE_TIME_4ca32ffef1] 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962323,Servidores Web vulneráveis ao ataque Freak,[IP_ADDRESS_693bf5abeb],[DATE_TIME_4ca32ffef1] 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962324,Servidores Web vulneráveis ao ataque Freak,[IP_ADDRESS_9075f1793c],[DATE_TIME_4ca32ffef1] 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962325,Servidores Web vulneráveis ao ataque Freak,[IP_ADDRESS_893d07da70],[DATE_TIME_4ca32ffef1] 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962326,Servidores Web vulneráveis ao ataque Freak,[IP_ADDRESS_fd778f9e09],[DATE_TIME_4ca32ffef1] 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962327,Servidores Web vulneráveis ao ataque Freak,[IP_ADDRESS_2b4bbfda72],[DATE_TIME_4ca32ffef1] 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962328,Servidores Web vulneráveis ao ataque Freak,[IP_ADDRESS_feb75f4179],[DATE_TIME_4ca32ffef1] 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962329,Servidores Web vulneráveis ao ataque Freak,[IP_ADDRESS_47eb19c516],[DATE_TIME_4ca32ffef1] 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962330,Servidores Web vulneráveis ao ataque Freak,[IP_ADDRESS_7ac4c4aa7a],[DATE_TIME_4ca32ffef1] 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962331,Servidores Web vulneráveis ao ataque Freak,[IP_ADDRESS_0c91c7a27a],[DATE_TIME_4ca32ffef1] 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962332,Servidores Web vulneráveis ao ataque Freak,[IP_ADDRESS_262a1a110a],[DATE_TIME_4ca32ffef1] 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962333,Servidores Web vulneráveis ao ataque Freak,[IP_ADDRESS_bdabb0595e],[DATE_TIME_4ca32ffef1] 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962334,Servidores Web vulneráveis ao ataque Freak,[IP_ADDRESS_92db9a6858],[DATE_TIME_4ca32ffef1] 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962335,Servidores Web vulneráveis ao ataque Freak,[IP_ADDRESS_19a8ee4484],[DATE_TIME_4ca32ffef1] 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962336,Servidores Web vulneráveis ao ataque Freak,[IP_ADDRESS_7ca90c0d8d],[DATE_TIME_4ca32ffef1] 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962337,Servidores Web vulneráveis ao ataque Freak,[IP_ADDRESS_ed6cd6109b],[DATE_TIME_4ca32ffef1] 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962338,Servidores Web vulneráveis ao ataque Freak,[IP_ADDRESS_bc37aa3b07],[DATE_TIME_4ca32ffef1] 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962339,Servidores Web vulneráveis ao ataque Freak,[IP_ADDRESS_20d2542775],[DATE_TIME_4ca32ffef1] 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962340,Servidores Web vulneráveis ao ataque Freak,[IP_ADDRESS_e8178a4cf8],[DATE_TIME_4ca32ffef1] 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962341,Servidores Web vulneráveis ao ataque Freak,[IP_ADDRESS_7a30af2e18],[DATE_TIME_4ca32ffef1] 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962342,Servidores Web vulneráveis ao ataque Freak,[IP_ADDRESS_22cecbfb21],[DATE_TIME_4ca32ffef1] 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962343,Servidores Web vulneráveis ao ataque Freak,[IP_ADDRESS_8af5ea05e5],[DATE_TIME_4ca32ffef1] 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962344,Servidores Web vulneráveis ao ataque Freak,[IP_ADDRESS_188f2762e0],[DATE_TIME_4ca32ffef1] 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
