ID,Assunto,IP Origem,Notificado em,Status,Tipo
5962291,Hosts com o serviço SNMP vulneráveis que podem ser utilizados em ataques DDoS,ipv4-anon-45ee2c75,2024-05-16 03:28:00+00:00,Resolvido,Amplificação/SNMP
5962300,Hosts com o serviço SSDP vulneráveis que podem ser utilizados em ataques DDoS,ipv4-anon-a07d012e,2024-05-16 03:29:59+00:00,Resolvido,Amplificação/SSDP
5962301,Hosts com o serviço SSDP vulneráveis que podem ser utilizados em ataques DDoS,ipv4-anon-64374aba,2024-05-16 03:31:27+00:00,Resolvido,Amplificação/SSDP
5962303,Hosts com o serviço SSDP vulneráveis que podem ser utilizados em ataques DDoS,ipv4-anon-8fddc686,2024-05-16 03:31:27+00:00,Resolvido,Amplificação/SSDP
5962305,Hosts com o serviço SSDP vulneráveis que podem ser utilizados em ataques DDoS,ipv4-anon-8e275fea,2024-05-16 03:31:27+00:00,Resolvido,Amplificação/SSDP
5962306,Hosts com o serviço SSDP vulneráveis que podem ser utilizados em ataques DDoS,ipv4-anon-6f655db7,2024-05-16 03:31:27+00:00,Resolvido,Amplificação/SSDP
5962307,Hosts com o serviço SSDP vulneráveis que podem ser utilizados em ataques DDoS,ipv4-anon-6c1e1f3a,2024-05-16 03:31:27+00:00,Resolvido,Amplificação/SSDP
5962308,Hosts com o serviço SSDP vulneráveis que podem ser utilizados em ataques DDoS,ipv4-anon-3a6e3fdd,2024-05-16 03:31:27+00:00,Resolvido,Amplificação/SSDP
5962309,Hosts com o serviço SSDP vulneráveis que podem ser utilizados em ataques DDoS,ipv4-anon-f5493168,2024-05-16 03:31:27+00:00,Resolvido,Amplificação/SSDP
5962311,Servidores Web vulneráveis ao ataque Freak,ipv4-anon-5a18b8fc,2024-05-16 03:31:22+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962312,Servidores Web vulneráveis ao ataque Freak,ipv4-anon-fda2b247,2024-05-16 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962313,Servidores Web vulneráveis ao ataque Freak,ipv4-anon-e79a6dcf,2024-05-16 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962314,Servidores Web vulneráveis ao ataque Freak,ipv4-anon-93aa90d7,2024-05-16 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962315,Servidores Web vulneráveis ao ataque Freak,ipv4-anon-744621cd,2024-05-16 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962316,Servidores Web vulneráveis ao ataque Freak,ipv4-anon-79154e34,2024-05-16 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962317,Servidores Web vulneráveis ao ataque Freak,ipv4-anon-17cff28f,2024-05-16 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962318,Servidores Web vulneráveis ao ataque Freak,ipv4-anon-dae3a3d6,2024-05-16 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962319,Servidores Web vulneráveis ao ataque Freak,ipv4-anon-30d3befd,2024-05-16 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962320,Servidores Web vulneráveis ao ataque Freak,ipv4-anon-3d189cf6,2024-05-16 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962321,Servidores Web vulneráveis ao ataque Freak,ipv4-anon-d0969913,2024-05-16 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962322,Servidores Web vulneráveis ao ataque Freak,ipv4-anon-097b7743,2024-05-16 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962323,Servidores Web vulneráveis ao ataque Freak,ipv4-anon-693bf5ab,2024-05-16 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962324,Servidores Web vulneráveis ao ataque Freak,ipv4-anon-9075f179,2024-05-16 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962325,Servidores Web vulneráveis ao ataque Freak,ipv4-anon-893d07da,2024-05-16 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962326,Servidores Web vulneráveis ao ataque Freak,ipv4-anon-fd778f9e,2024-05-16 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962327,Servidores Web vulneráveis ao ataque Freak,ipv4-anon-2b4bbfda,2024-05-16 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962328,Servidores Web vulneráveis ao ataque Freak,ipv4-anon-feb75f41,2024-05-16 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962329,Servidores Web vulneráveis ao ataque Freak,ipv4-anon-47eb19c5,2024-05-16 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962330,Servidores Web vulneráveis ao ataque Freak,ipv4-anon-7ac4c4aa,2024-05-16 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962331,Servidores Web vulneráveis ao ataque Freak,ipv4-anon-0c91c7a2,2024-05-16 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962332,Servidores Web vulneráveis ao ataque Freak,ipv4-anon-262a1a11,2024-05-16 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962333,Servidores Web vulneráveis ao ataque Freak,ipv4-anon-bdabb059,2024-05-16 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962334,Servidores Web vulneráveis ao ataque Freak,ipv4-anon-92db9a68,2024-05-16 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962335,Servidores Web vulneráveis ao ataque Freak,ipv4-anon-19a8ee44,2024-05-16 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962336,Servidores Web vulneráveis ao ataque Freak,ipv4-anon-7ca90c0d,2024-05-16 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962337,Servidores Web vulneráveis ao ataque Freak,ipv4-anon-ed6cd610,2024-05-16 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962338,Servidores Web vulneráveis ao ataque Freak,ipv4-anon-bc37aa3b,2024-05-16 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962339,Servidores Web vulneráveis ao ataque Freak,ipv4-anon-20d25427,2024-05-16 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962340,Servidores Web vulneráveis ao ataque Freak,ipv4-anon-e8178a4c,2024-05-16 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962341,Servidores Web vulneráveis ao ataque Freak,ipv4-anon-7a30af2e,2024-05-16 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962342,Servidores Web vulneráveis ao ataque Freak,ipv4-anon-22cecbfb,2024-05-16 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962343,Servidores Web vulneráveis ao ataque Freak,ipv4-anon-8af5ea05,2024-05-16 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962344,Servidores Web vulneráveis ao ataque Freak,ipv4-anon-188f2762,2024-05-16 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962345,Servidores Web vulneráveis ao ataque Freak,ipv4-anon-c13c567f,2024-05-16 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962346,Servidores Web vulneráveis ao ataque Freak,ipv4-anon-3e4d2f9e,2024-05-16 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962347,Servidores Web vulneráveis ao ataque Freak,ipv4-anon-e31a1bae,2024-05-16 03:33:27+00:00,Resolvido,Acesso Indevido-Vazamento/Freak
5962359,Hosts com o serviço WS-Discovery vulneráveis que podem ser utilizados em ataques DDoS,ipv4-anon-8adcd54d,2024-05-16 03:47:27+00:00,Resolvido,Amplificação/WSDISCOVERY
5962360,Hosts com o serviço WS-Discovery vulneráveis que podem ser utilizados em ataques DDoS,ipv4-anon-c4958fb2,2024-05-16 03:47:27+00:00,Resolvido,Amplificação/WSDISCOVERY
5962361,Hosts com o serviço WS-Discovery vulneráveis que podem ser utilizados em ataques DDoS,ipv4-anon-c40da4f8,2024-05-16 03:47:27+00:00,Resolvido,Amplificação/WSDISCOVERY
5962362,Hosts com o serviço WS-Discovery vulneráveis que podem ser utilizados em ataques DDoS,ipv4-anon-7f7a8605,2024-05-16 03:47:27+00:00,Resolvido,Amplificação/WSDISCOVERY
5962365,Hosts com o serviço WS-Discovery vulneráveis que podem ser utilizados em ataques DDoS,ipv4-anon-54e2d52f,2024-05-16 03:47:27+00:00,Resolvido,Amplificação/WSDISCOVERY
5962366,Hosts com o serviço WS-Discovery vulneráveis que podem ser utilizados em ataques DDoS,ipv4-anon-0d708eed,2024-05-16 03:47:27+00:00,Resolvido,Amplificação/WSDISCOVERY
5962367,Hosts com o serviço WS-Discovery vulneráveis que podem ser utilizados em ataques DDoS,ipv4-anon-406221fa,2024-05-16 03:47:27+00:00,Resolvido,Amplificação/WSDISCOVERY
5962446,Host com o serviço MSMQ vulnerável,ipv4-anon-d69f2d07,2024-05-16 05:14:18+00:00,Resolvido,Tentativa de Exploração de Vulnerabilidades
5962447,Host com o serviço MSMQ vulnerável,ipv4-anon-082b1e5c,2024-05-16 05:15:28+00:00,Resolvido,Tentativa de Exploração de Vulnerabilidades
5962449,Host com o serviço MSMQ vulnerável,ipv4-anon-b462f31e,2024-05-16 05:15:28+00:00,Resolvido,Tentativa de Exploração de Vulnerabilidades
5962450,Host com o serviço MSMQ vulnerável,ipv4-anon-ba775d71,2024-05-16 05:15:28+00:00,Resolvido,Tentativa de Exploração de Vulnerabilidades
5962451,Host com o serviço MSMQ vulnerável,ipv4-anon-945a0410,2024-05-16 05:15:28+00:00,Resolvido,Tentativa de Exploração de Vulnerabilidades
5962452,Host com o serviço MSMQ vulnerável,ipv4-anon-e5b640c5,2024-05-16 05:15:28+00:00,Resolvido,Tentativa de Exploração de Vulnerabilidades
5962453,Host com o serviço MSMQ vulnerável,ipv4-anon-7ae8f88a,2024-05-16 05:15:28+00:00,Resolvido,Tentativa de Exploração de Vulnerabilidades
5962455,Host com o serviço MSMQ vulnerável,ipv4-anon-2eaabe02,2024-05-16 05:15:28+00:00,Resolvido,Tentativa de Exploração de Vulnerabilidades
5962456,Host com o serviço MSMQ vulnerável,ipv4-anon-2ee6665f,2024-05-16 05:15:28+00:00,Resolvido,Tentativa de Exploração de Vulnerabilidades
5962458,Host com o serviço MSMQ vulnerável,ipv4-anon-7f9cfbfc,2024-05-16 05:15:28+00:00,Resolvido,Tentativa de Exploração de Vulnerabilidades
5962460,Host com o serviço MSMQ vulnerável,ipv4-anon-144ee713,2024-05-16 05:15:28+00:00,Resolvido,Tentativa de Exploração de Vulnerabilidades
5962461,Host com o serviço MSMQ vulnerável,ipv4-anon-9383d87b,2024-05-16 05:15:28+00:00,Resolvido,Tentativa de Exploração de Vulnerabilidades
5962462,Host com o serviço MSMQ vulnerável,ipv4-anon-1c7c92c8,2024-05-16 05:15:28+00:00,Resolvido,Tentativa de Exploração de Vulnerabilidades
5962465,Host com o serviço MSMQ vulnerável,ipv4-anon-6a261910,2024-05-16 05:15:28+00:00,Resolvido,Tentativa de Exploração de Vulnerabilidades
5962466,Host com o serviço MSMQ vulnerável,ipv4-anon-17548b2e,2024-05-16 05:15:28+00:00,Resolvido,Tentativa de Exploração de Vulnerabilidades
5962467,Host com o serviço MSMQ vulnerável,ipv4-anon-527b22d9,2024-05-16 05:15:28+00:00,Resolvido,Tentativa de Exploração de Vulnerabilidades
5962468,Host com o serviço MSMQ vulnerável,ipv4-anon-03509734,2024-05-16 05:15:28+00:00,Resolvido,Tentativa de Exploração de Vulnerabilidades
5962469,Host com o serviço MSMQ vulnerável,ipv4-anon-c94d972c,2024-05-16 05:15:28+00:00,Resolvido,Tentativa de Exploração de Vulnerabilidades
5963415,Host com o serviço MYSQL vulnerável,ipv4-anon-c7253650,2024-05-22 02:54:22+00:00,Resolvido,Acesso Indevido-Vazamento/MS-SQL
5963530,Host com o serviço SMB vulnerável,ipv4-anon-094c20de,2024-05-22 03:21:52+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5963751,Hosts com o serviço NTP vulneráveis que podem ser utilizados em ataques DDoS,ipv4-anon-4040414a,2024-05-23 02:59:32+00:00,Resolvido,Amplificação/NTP
5964166,Host com o serviço DVR DHCPdiscover vulnerável que pode ser utilizado em ataques DDoS,ipv4-anon-a7f50c2f,2024-05-25 02:05:46+00:00,Resolvido,Amplificação/Dhcpdiscover
5964610,Host com o serviço SMB vulnerável,ipv4-anon-dc69a102,2024-05-28 03:24:18+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5965135,Host com o serviço Redis vulnerável,ipv4-anon-c398034e,2024-05-30 03:18:37+00:00,Resolvido,Acesso Indevido-Vazamento/Redis
5966062,Host com o serviço SMB vulnerável,ipv4-anon-647174c6,2024-06-05 03:24:32+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5966223,Host infectado com malware,ipv4-anon-de1e7bfc,2024-06-05 04:46:34+00:00,Resolvido,Malware/Outros
5966612,Servidores Web vulneráveis ao ataque Poodle,ipv6-anon-d31a5abb,2024-06-07 04:13:12+00:00,Resolvido,Acesso Indevido-Vazamento/Poodle
