ID,Assunto,IP Origem,Notificado em,Status,Tipo
5962044,Host com o serviço SMB vulnerável,ipv4-anon-d8650c30,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962046,Host com o serviço SMB vulnerável,ipv4-anon-b6c45c26,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962047,Host com o serviço SMB vulnerável,ipv4-anon-d9c75b73,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962050,Host com o serviço SMB vulnerável,ipv4-anon-112ff5c8,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962051,Host com o serviço SMB vulnerável,ipv4-anon-ab46ad65,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962052,Host com o serviço SMB vulnerável,ipv4-anon-6ded0690,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962053,Host com o serviço SMB vulnerável,ipv4-anon-a49c4d52,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962054,Host com o serviço SMB vulnerável,ipv4-anon-859236b4,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962055,Host com o serviço SMB vulnerável,ipv4-anon-1ae15373,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962056,Host com o serviço SMB vulnerável,ipv4-anon-0a7e7dfe,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962057,Host com o serviço SMB vulnerável,ipv4-anon-6130b742,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962058,Host com o serviço SMB vulnerável,ipv4-anon-5a6e1028,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962059,Host com o serviço SMB vulnerável,ipv4-anon-7035f80b,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962060,Host com o serviço SMB vulnerável,ipv4-anon-3e82a3bd,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962061,Host com o serviço SMB vulnerável,ipv4-anon-bdfc4ddf,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962066,Host com o serviço SMB vulnerável,ipv4-anon-e5eb2016,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962067,Host com o serviço SMB vulnerável,ipv4-anon-d59ee81b,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962068,Host com o serviço SMB vulnerável,ipv4-anon-94c79810,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962070,Host com o serviço SMB vulnerável,ipv4-anon-ef7b3925,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962074,Host com o serviço SMB vulnerável,ipv4-anon-ba775d71,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962102,Host com o serviço SMB vulnerável,ipv4-anon-c2180fde,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962103,Host com o serviço SMB vulnerável,ipv4-anon-741bfd9b,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962104,Host com o serviço SMB vulnerável,ipv4-anon-32e7e3d5,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962105,Host com o serviço SMB vulnerável,ipv4-anon-0f80cb5a,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962106,Host com o serviço SMB vulnerável,ipv4-anon-8b1e301c,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962107,Host com o serviço SMB vulnerável,ipv4-anon-2dd170ff,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962108,Host com o serviço SMB vulnerável,ipv4-anon-628a2185,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962109,Host com o serviço SMB vulnerável,ipv4-anon-ba0b1e85,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962110,Host com o serviço SMB vulnerável,ipv4-anon-a5a2b791,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962111,Host com o serviço SMB vulnerável,ipv4-anon-b018b935,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962112,Host com o serviço SMB vulnerável,ipv4-anon-7b54be1f,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962157,Host com o serviço SMB vulnerável,ipv4-anon-fce05017,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962158,Host com o serviço SMB vulnerável,ipv4-anon-4ed75983,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962159,Host com o serviço SMB vulnerável,ipv4-anon-68d5c48c,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962160,Host com o serviço SMB vulnerável,ipv4-anon-4c3b2a0e,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962161,Host com o serviço SMB vulnerável,ipv4-anon-fea6bab2,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962162,Host com o serviço SMB vulnerável,ipv4-anon-4ee72a50,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962163,Host com o serviço SMB vulnerável,ipv4-anon-6493f952,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962164,Host com o serviço SMB vulnerável,ipv4-anon-8728df25,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962165,Host com o serviço SMB vulnerável,ipv4-anon-a4c3e22c,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962166,Host com o serviço SMB vulnerável,ipv4-anon-54ffeb27,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962167,Host com o serviço SMB vulnerável,ipv4-anon-33db3c6b,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962168,Host com o serviço SMB vulnerável,ipv4-anon-c33b2c81,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962169,Host com o serviço SMB vulnerável,ipv4-anon-40f27a75,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962172,Host com o serviço SMB vulnerável,ipv4-anon-8e275fea,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962173,Host com o serviço SMB vulnerável,ipv4-anon-1044eb2e,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962174,Host com o serviço SMB vulnerável,ipv4-anon-635edad8,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962175,Host com o serviço SMB vulnerável,ipv4-anon-21b23b22,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962176,Host com o serviço SMB vulnerável,ipv4-anon-5b97c4fa,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962177,Host com o serviço SMB vulnerável,ipv4-anon-28e6e26d,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962178,Host com o serviço SMB vulnerável,ipv4-anon-ec6bb7fc,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962179,Host com o serviço SMB vulnerável,ipv4-anon-6bd7b393,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962181,Host com o serviço SMB vulnerável,ipv4-anon-3a6e3fdd,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962182,Host com o serviço SMB vulnerável,ipv4-anon-e8271880,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962183,Host com o serviço SMB vulnerável,ipv4-anon-e47ff097,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
