ID,Assunto,IP Origem,Notificado em,Status,Tipo
5962291,MISC-anon-bba9af13 com o serviço SNMP vulneráveis que podem ser utilizados em ataques MISC-anon-2e26a8a6,IPV4-anon-45ee2c75,2024-05-16 IPV6-anon-b115a73a+00:00,Resolvido,MISC-anon-5828890f
5962300,MISC-anon-bba9af13 com o serviço ORG-anon-aba71c15 vulneráveis que podem ser utilizados em ataques MISC-anon-2e26a8a6,IPV4-anon-a07d012e,2024-05-16 IPV6-anon-587cc51d+00:00,Resolvido,MISC-anon-367a0475
5962301,MISC-anon-bba9af13 com o serviço ORG-anon-aba71c15 vulneráveis que podem ser utilizados em ataques MISC-anon-2e26a8a6,IPV4-anon-64374aba,2024-05-16 IPV6-anon-7263b088+00:00,Resolvido,MISC-anon-367a0475
5962303,MISC-anon-bba9af13 com o serviço ORG-anon-aba71c15 vulneráveis que podem ser utilizados em ataques MISC-anon-2e26a8a6,IPV4-anon-8fddc686,2024-05-16 IPV6-anon-7263b088+00:00,Resolvido,MISC-anon-367a0475
5962305,MISC-anon-bba9af13 com o serviço ORG-anon-aba71c15 vulneráveis que podem ser utilizados em ataques MISC-anon-2e26a8a6,IPV4-anon-8e275fea,2024-05-16 IPV6-anon-7263b088+00:00,Resolvido,MISC-anon-367a0475
5962306,MISC-anon-bba9af13 com o serviço ORG-anon-aba71c15 vulneráveis que podem ser utilizados em ataques MISC-anon-2e26a8a6,IPV4-anon-6f655db7,2024-05-16 IPV6-anon-7263b088+00:00,Resolvido,MISC-anon-367a0475
5962307,MISC-anon-bba9af13 com o serviço ORG-anon-aba71c15 vulneráveis que podem ser utilizados em ataques MISC-anon-2e26a8a6,IPV4-anon-6c1e1f3a,2024-05-16 IPV6-anon-7263b088+00:00,Resolvido,MISC-anon-367a0475
5962308,MISC-anon-bba9af13 com o serviço ORG-anon-aba71c15 vulneráveis que podem ser utilizados em ataques MISC-anon-2e26a8a6,IPV4-anon-3a6e3fdd,2024-05-16 IPV6-anon-7263b088+00:00,Resolvido,MISC-anon-367a0475
5962309,MISC-anon-bba9af13 com o serviço ORG-anon-aba71c15 vulneráveis que podem ser utilizados em ataques MISC-anon-2e26a8a6,IPV4-anon-f5493168,2024-05-16 IPV6-anon-7263b088+00:00,Resolvido,MISC-anon-367a0475
5962311,Servidores MISC-anon-29751047 vulneráveis ao ataque ORG-anon-3fddbe96,IPV4-anon-5a18b8fc,2024-05-16 IPV6-anon-81bbb6e5+00:00,Resolvido,MISC-anon-5774f844/ORG-anon-3fddbe96
5962312,Servidores MISC-anon-29751047 vulneráveis ao ataque ORG-anon-3fddbe96,IPV4-anon-fda2b247,2024-05-16 IPV6-anon-922b9335+00:00,Resolvido,MISC-anon-5774f844/ORG-anon-3fddbe96
5962313,Servidores MISC-anon-29751047 vulneráveis ao ataque ORG-anon-3fddbe96,IPV4-anon-e79a6dcf,2024-05-16 IPV6-anon-922b9335+00:00,Resolvido,MISC-anon-5774f844/ORG-anon-3fddbe96
5962314,Servidores MISC-anon-29751047 vulneráveis ao ataque ORG-anon-3fddbe96,IPV4-anon-93aa90d7,2024-05-16 IPV6-anon-922b9335+00:00,Resolvido,MISC-anon-5774f844/ORG-anon-3fddbe96
5962315,Servidores MISC-anon-29751047 vulneráveis ao ataque ORG-anon-3fddbe96,IPV4-anon-744621cd,2024-05-16 IPV6-anon-922b9335+00:00,Resolvido,MISC-anon-5774f844/ORG-anon-3fddbe96
